id,firstname,lastname,country,birthdate,balance
0,Jennica,Tyson,Germany,1982-10-30,531197
1,Priscilla,Shields,Germany,1988-05-14,3557355
2,Sonni,Dash,Croatia,1998-01-18,3975749
3,Donnie,Jehu,Hungary,1976-07-28,3823006
4,Chandra,Shaddock,Germany,1990-10-21,5963951
5,Leia,Nance,Austria,1973-10-18,1533729
6,Ernesta,Seligman,Germany,1973-04-01,78335
7,Mallory,Dituri,Croatia,1989-01-25,4185946
8,Eugine,Lissi,Austria,1983-06-09,4603386
9,Lynea,Florina,Hungary,1987-09-13,3718206
10,Marguerite,Fontana,Germany,1980-06-27,1309687
11,Ruthe,Autrey,Austria,1978-03-16,2580022
12,Carly,Mandler,Austria,1993-08-14,4295811
13,Dione,Ailyn,Germany,1972-10-29,2936624
14,Addia,Stoller,Hungary,1994-04-28,117303
15,Kary,Jehu,Austria,1990-07-10,2479377
16,Liana,Vary,Austria,1985-10-21,1736305
17,Caryl,Rooney,Germany,1999-09-16,4745136
18,Oralee,Taima,Germany,1970-03-04,1788936
19,Kary,Armanda,Hungary,1988-06-23,4923608
20,Evita,Leler,Austria,2000-12-01,4687310
21,Rhea,Kravits,Croatia,1979-10-28,1371157
22,Angelique,Kalinda,Germany,1977-06-24,4937037
23,Maisey,Forrer,Hungary,1998-07-11,1992862
24,Gloria,Harday,Austria,1974-07-21,2474937
25,Robinia,Ochs,Germany,1986-03-16,1851528
26,Alyssa,Lorenz,Hungary,1972-09-12,5696558
27,Jsandye,Klotz,Croatia,1998-05-24,1826655
28,Kore,Melleta,Croatia,1973-04-02,1552346
29,Agathe,Bonucci,Hungary,1994-07-24,2840520
30,Damaris,Nedrud,Austria,1991-08-21,4875121
31,Yolane,Gavrila,Hungary,1971-10-11,158663
32,Alexine,Auberbach,Croatia,1990-12-24,2870939
33,Britte,Bultman,Croatia,1985-02-13,170482
34,Lonnie,Arathorn,Croatia,2001-04-21,3642322
35,Lynnea,Gaulin,Germany,1980-03-06,5483217
36,Halette,Berriman,Hungary,1987-04-14,735811
37,Lucy,Eliathas,Germany,1977-11-09,3028528
38,Kelly,Haerr,Germany,1971-03-13,3216721
39,Josephine,Brenn,Germany,1994-11-25,4463280
40,Keelia,Blake,Hungary,2001-04-27,2313666
41,Merci,Anis,Hungary,1973-09-16,5350202
42,Mariann,Andrel,Austria,1984-08-03,980011
43,Madalyn,Tippets,Austria,1987-01-30,3103859
44,Joelly,Robertson,Hungary,1996-09-27,2114825
45,Charlena,Vivle,Croatia,1975-09-20,4268726
46,Donetta,Kravits,Austria,1992-01-16,589868
47,Sherrie,Bryna,Austria,1978-01-21,1796366
48,Jemie,Bevin,Germany,1989-06-26,2225118
49,Marjie,Soneson,Croatia,1975-10-03,3005162
50,Kristan,Neva,Croatia,1976-01-29,5412614
51,Merrie,Kannry,Croatia,1974-04-09,5696528
52,Viki,Seumas,Croatia,1972-02-18,5489349
53,Addia,Etom,Hungary,1976-09-17,5012157
54,Gusty,Timon,Hungary,1972-05-18,5237689
55,Binny,Syd,Croatia,1975-05-24,2058259
56,Kayla,Rugen,Austria,1970-10-05,3687370
57,Doralynne,Harday,Croatia,1970-12-02,5481901
58,Debee,Hillel,Hungary,1985-06-27,3137310
59,Benita,Chapland,Germany,1971-03-17,1237008
60,Ashlee,Tamsky,Germany,1988-04-22,1277197
61,Cristine,Pacorro,Austria,2000-05-30,4444975
62,Quintina,Louanna,Austria,1986-08-16,4548051
63,Elie,Levey,Croatia,1981-07-27,3709504
64,Sharai,Goldina,Germany,1984-12-01,2277960
65,Henriette,Durware,Germany,1991-07-09,4748674
66,Clary,Pond,Hungary,1986-09-05,1318385
67,Wendi,Sundin,Croatia,1999-11-20,256909
68,Lanna,Socha,Hungary,1993-12-01,4632446
69,Lanna,Boehike,Germany,1984-03-08,2629130
70,Maryellen,Cavan,Croatia,1979-01-24,846050
71,Belva,Tarrant,Austria,1975-09-18,2832279
72,Briney,Sundin,Hungary,1990-03-17,4619166
73,Roxane,Honoria,Croatia,1994-04-10,2509197
74,Xylina,Briney,Germany,1997-04-11,3903829
75,Raquela,Vale,Hungary,1987-08-06,3963226
76,Laure,Wu,Austria,1982-03-11,1222959
77,Kristina,Havens,Croatia,1998-04-22,1278105
78,Cassondra,Kauppi,Germany,1995-02-17,2703705
79,Nataline,Whiffen,Germany,1988-09-08,4680299
80,Thalia,Lalitta,Hungary,1986-09-29,650348
81,Lulita,Elbertina,Hungary,1999-02-24,5752843
82,Gabriellia,Dash,Austria,1994-07-06,951928
83,Merrie,Chinua,Croatia,1999-08-16,5910330
84,Magdalena,Skell,Croatia,1982-12-01,1229843
85,Oralee,Ariella,Croatia,2001-02-21,1948124
86,Gretal,Gaspard,Germany,1990-03-27,4191029
87,Jany,Sparhawk,Hungary,1990-09-10,5408124
88,Agnese,Dituri,Hungary,1989-03-07,3363535
89,Grier,Linehan,Germany,1997-09-24,1854839
90,Reeba,Euridice,Austria,1991-12-08,656014
91,Paule,Kenney,Croatia,1978-12-30,3249401
92,Renie,Goddard,Austria,1971-09-26,131390
93,Lorne,Kesley,Croatia,1976-01-15,32274
94,Sheelagh,Gabrielli,Austria,1975-04-30,1386259
95,Trixi,Celestine,Austria,1972-03-13,4339140
